"","Site","Tree","Y","X"
"1","A","A1",-24.19121,30.83134
"2","A","A2",-24.19105,30.83105
"3","A","A3",-24.19193,30.83132
"4","A","A4",-24.19184,30.8313
"5","A","A5",-24.19166,30.83128
"6","A","A6",-24.19153,30.83083
"7","A","A7",-24.19149,30.83096
"8","B","B1",-24.19525,30.83707
"9","B","B2",-24.19549,30.837
"10","B","B3",-24.19553,30.83661
"11","B","B4",-24.19536,30.83654
"12","B","B5",-24.1953,30.83649
"13","B","B6",-24.19528,30.83654
"14","B","B7",-24.19544,30.83639
"15","B","B8",-24.19532,30.83621
"16","B","B9",-24.19544,30.83625
"17","B","B10",-24.19547,30.83602
"18","B","B11",-24.19462,30.83666
"19","B","B12",-24.1954,30.83654
"20","B","B13",-24.19538,30.83693
"21","C","C1",-24.19138,30.83747
"22","C","C2",-24.19159,30.83729
"23","C","C3",-24.1916,30.83726
"24","C","C4",-24.1915,30.83717
"25","C","C5",-24.19153,30.83692
"26","C","C6",-24.1915,30.83783
"27","C","C7",-24.1914,30.83678
"28","C","C8",-24.1912,30.83679
"29","C","C9",-24.19113,30.83686
"30","C","C10",-24.19118,30.83666
"31","C","C11",-24.19108,30.83638
"32","C","C12",-24.19686,30.83654
"33","C","C13",-24.19073,30.83664
"34","C","C14",-24.19058,30.83685
"35","C","C15",-24.19073,30.83691
"36","C","C16",-24.19073,30.83708
"37","C","C17",-24.19106,30.83683
"38","D","D1",-24.20554,30.84389
"39","D","D2",-24.20512,30.84377
"40","D","D3",-24.20516,30.84395
"41","E","E1",-24.193,30.84631
"42","E","E2",-24.19247,30.84546
"43","E","E3",-24.19307,30.84654
"44","F","F1",-24.21341,30.85798
"45","F","F2",-24.21337,30.85792
"46","F","F3",-24.21356,30.85782
"47","F","F4",-24.21339,30.85773
"48","F","F5",-24.2134,30.85764
"49","F","F6",-24.2132,30.85715
"50","F","F7",-24.21317,30.85708
"51","F","F8",-24.2131,30.85714
"52","F","F9",-24.21306,30.85715
"53","F","F10",-24.21301,30.85716
"54","F","F11",-24.21299,30.85811
"55","G","G1",-24.2137,30.86113
"56","G","G2",-24.21358,30.86043
"57","G","G3",-24.2135,30.86029
"58","G","G4",-24.21343,30.86031
"59","G","G5",-24.21323,30.86067
"60","G","G6",-24.21385,30.86091
"61","H","H2",-24.19897,30.8322
"62","H","H3",-24.19919,30.83197
"63","H","H5",-24.19943,30.83273
"64","H","H6",-24.19865,30.83236
"65","I","I1",-24.19991,30.84166
"66","I","I2",-24.19979,30.84173
"67","J","J1",-24.20441,30.83761
"68","J","J2",-24.20443,30.83768
"69","K","K1",-24.20972,30.86199
"70","K","K2",-24.20965,30.86234
"71","K","K3",-24.20972,30.86238
"72","K","K4",-24.21003,30.8623
"73","K","K5",-24.21036,30.86229
"74","K","K6",-24.21044,30.86235
"75","K","K7",-24.21037,30.86228
"76","K","K8",-24.21042,30.86133
"77","K","K9",-24.20988,30.86183
"78","M","M1",-24.20773,30.85497
"79","M","M2",-24.20772,30.85499
"80","M","M3",-24.20773,30.8551
"81","M","M4",-24.20752,30.85591
"82","M","M5",-24.20744,30.85582
"83","S","S1",-24.19128,30.82622
"84","S","S2",-24.19125,30.82618
"85","S","S3",-24.19127,30.82598
"86","S","S4",-24.19118,30.82542
"87","S","S5",-24.19129,30.82556
"88","S","S6",-24.19161,30.82535
"89","S","S7",-24.19153,30.82533
"90","S","S8",-24.19174,30.82539
"91","S","S9",-24.19154,30.82581
"92","S","S10",-24.19151,30.82581
"93","S","S11",-24.19149,30.8259
"94","U","U1",-24.19556,30.92343
"95","U","U2",-24.19571,30.92354
"96","U","U3",-24.19573,30.92343
"97","U","U4",-24.19636,30.92346
"98","U","U5",-24.1963,30.92335
"99","U","U7",-24.19622,30.92327
"100","U","U8",-24.19603,30.92282
"101","U","U10",-24.19575,30.92318
"102","W","W1",-24.18673,30.85142
"103","W","W2",-24.18723,30.8515
"104","W","W3",-24.18757,30.85184
"105","W","W4",-24.18738,30.85185
"106","W","W5",-24.18686,30.85233
"107","W","W6",-24.18662,30.85182
"108","W","W7",-24.18693,30.85209
"109","W","W8",-24.18703,30.85204
"110","W","W9",-24.18714,30.8519
"111","X","X1",-24.2251,30.86766
"112","X","X2",-24.2252,30.86774
"113","X","X3",-24.22532,30.86791
"114","X","X4",-24.22481,30.86854
"115","Z","Z1",-24.16201,30.94462
